lead_id,created_at,source,device,city,pages_viewed,session_minutes,repeat_visit,form_filled,target_deal
L0001,2026-08-02 11:00,organic,desktop,Тюмень,8,8.8,0,0,0
L0002,2026-08-03 12:00,direct,desktop,Екатеринбург,3,6.7,0,1,1
L0003,2026-08-04 13:00,organic,mobile,Москва,15,20.7,0,1,0
L0004,2026-08-05 14:00,organic,desktop,Москва,7,26.7,0,1,1
L0005,2026-08-06 15:00,referral,mobile,Екатеринбург,15,19.4,0,0,0
L0006,2026-08-07 16:00,referral,mobile,Тюмень,7,20.4,1,1,1
L0007,2026-08-08 17:00,direct,desktop,Екатеринбург,13,12.1,0,0,0
L0008,2026-08-09 18:00,ads,desktop,Екатеринбург,6,15.8,1,0,1
L0009,2026-08-10 19:00,email,mobile,Москва,11,25.5,0,0,1
L0010,2026-08-11 10:00,ads,desktop,Москва,11,9.7,0,0,0
L0011,2026-08-12 11:00,direct,desktop,Пермь,18,13.8,0,0,0
L0012,2026-08-13 12:00,ads,tablet,Пермь,16,8.7,1,1,0
L0013,2026-08-14 13:00,referral,desktop,Екатеринбург,13,14.7,0,0,0
L0014,2026-08-15 14:00,referral,desktop,Екатеринбург,18,26.0,0,0,1
L0015,2026-08-16 15:00,ads,desktop,Тюмень,17,25.8,0,1,0
L0016,2026-08-21 18:00,ads,tablet,Екатеринбург,13,27.7,1,1,1
L0017,2026-08-25 10:00,ads,mobile,Тюмень,10,10.3,1,1,1
L0018,2026-08-05 18:00,direct,tablet,Екатеринбург,7,18.4,1,1,1
L0019,2026-08-06 19:00,organic,desktop,Челябинск,15,23.2,0,1,1
L0020,2026-08-09 16:00,email,mobile,Екатеринбург,18,14.7,0,0,1
